species_id,species_name,generation
722,rowlet,7
723,dartrix,7
724,decidueye,7
725,litten,7
726,torracat,7
727,incineroar,7
728,popplio,7
729,brionne,7
730,primarina,7
731,pikipek,7
732,trumbeak,7
733,toucannon,7
734,yungoos,7
735,gumshoos,7
736,grubbin,7
737,charjabug,7
738,vikavolt,7
739,crabrawler,7
740,crabominable,7
741,oricorio,7
742,cutiefly,7
743,ribombee,7
744,rockruff,7
745,lycanroc,7
746,wishiwashi,7
747,mareanie,7
748,toxapex,7
749,mudbray,7
750,mudsdale,7
751,dewpider,7
752,araquanid,7
753,fomantis,7
754,lurantis,7
755,morelull,7
756,shiinotic,7
757,salandit,7
758,salazzle,7
759,stufful,7
760,bewear,7
761,bounsweet,7
762,steenee,7
763,tsareena,7
764,comfey,7
765,oranguru,7
766,passimian,7
767,wimpod,7
768,golisopod,7
769,sandygast,7
770,palossand,7
771,pyukumuku,7
772,type-null,7
773,silvally,7
774,minior,7
775,komala,7
776,turtonator,7
777,togedemaru,7
778,mimikyu,7
779,bruxish,7
780,drampa,7
781,dhelmise,7
782,jangmo-o,7
783,hakamo-o,7
784,kommo-o,7
785,tapu-koko,7
786,tapu-lele,7
787,tapu-bulu,7
788,tapu-fini,7
789,cosmog,7
790,cosmoem,7
791,solgaleo,7
792,lunala,7
793,nihilego,7
794,buzzwole,7
795,pheromosa,7
796,xurkitree,7
797,celesteela,7
798,kartana,7
799,guzzlord,7
800,necrozma,7
801,magearna,7
802,marshadow,7
803,poipole,7
804,naganadel,7
805,stakataka,7
806,blacephalon,7
807,zeraora,7
808,meltan,7
809,melmetal,7
