species_id,species_name,generation
494,victini,5
495,snivy,5
496,servine,5
497,serperior,5
498,tepig,5
499,pignite,5
500,emboar,5
501,oshawott,5
502,dewott,5
503,samurott,5
504,patrat,5
505,watchog,5
506,lillipup,5
507,herdier,5
508,stoutland,5
509,purrloin,5
510,liepard,5
511,pansage,5
512,simisage,5
513,pansear,5
514,simisear,5
515,panpour,5
516,simipour,5
517,munna,5
518,musharna,5
519,pidove,5
520,tranquill,5
521,unfezant,5
522,blitzle,5
523,zebstrika,5
524,roggenrola,5
525,boldore,5
526,gigalith,5
527,woobat,5
528,swoobat,5
529,drilbur,5
530,excadrill,5
531,audino,5
532,timburr,5
533,gurdurr,5
534,conkeldurr,5
535,tympole,5
536,palpitoad,5
537,seismitoad,5
538,throh,5
539,sawk,5
540,sewaddle,5
541,swadloon,5
542,leavanny,5
543,venipede,5
544,whirlipede,5
545,scolipede,5
546,cottonee,5
547,whimsicott,5
548,petilil,5
549,lilligant,5
550,basculin,5
551,sandile,5
552,krokorok,5
553,krookodile,5
554,darumaka,5
555,darmanitan,5
556,maractus,5
557,dwebble,5
558,crustle,5
559,scraggy,5
560,scrafty,5
561,sigilyph,5
562,yamask,5
563,cofagrigus,5
564,tirtouga,5
565,carracosta,5
566,archen,5
567,archeops,5
568,trubbish,5
569,garbodor,5
570,zorua,5
571,zoroark,5
572,minccino,5
573,cinccino,5
574,gothita,5
575,gothorita,5
576,gothitelle,5
577,solosis,5
578,duosion,5
579,reuniclus,5
580,ducklett,5
581,swanna,5
582,vanillite,5
583,vanillish,5
584,vanilluxe,5
585,deerling,5
586,sawsbuck,5
587,emolga,5
588,karrablast,5
589,escavalier,5
590,foongus,5
591,amoonguss,5
592,frillish,5
593,jellicent,5
594,alomomola,5
595,joltik,5
596,galvantula,5
597,ferroseed,5
598,ferrothorn,5
599,klink,5
600,klang,5
601,klinklang,5
602,tynamo,5
603,eelektrik,5
604,eelektross,5
605,elgyem,5
606,beheeyem,5
607,litwick,5
608,lampent,5
609,chandelure,5
610,axew,5
611,fraxure,5
612,haxorus,5
613,cubchoo,5
614,beartic,5
615,cryogonal,5
616,shelmet,5
617,accelgor,5
618,stunfisk,5
619,mienfoo,5
620,mienshao,5
621,druddigon,5
622,golett,5
623,golurk,5
624,pawniard,5
625,bisharp,5
626,bouffalant,5
627,rufflet,5
628,braviary,5
629,vullaby,5
630,mandibuzz,5
631,heatmor,5
632,durant,5
633,deino,5
634,zweilous,5
635,hydreigon,5
636,larvesta,5
637,volcarona,5
638,cobalion,5
639,terrakion,5
640,virizion,5
641,tornadus,5
642,thundurus,5
643,reshiram,5
644,zekrom,5
645,landorus,5
646,kyurem,5
647,keldeo,5
648,meloetta,5
649,genesect,5
