species_id,species_name,generation
810,grookey,8
811,thwackey,8
812,rillaboom,8
813,scorbunny,8
814,raboot,8
815,cinderace,8
816,sobble,8
817,drizzile,8
818,inteleon,8
819,skwovet,8
820,greedent,8
821,rookidee,8
822,corvisquire,8
823,corviknight,8
824,blipbug,8
825,dottler,8
826,orbeetle,8
827,nickit,8
828,thievul,8
829,gossifleur,8
830,eldegoss,8
831,wooloo,8
832,dubwool,8
833,chewtle,8
834,drednaw,8
835,yamper,8
836,boltund,8
837,rolycoly,8
838,carkol,8
839,coalossal,8
840,applin,8
841,flapple,8
842,appletun,8
843,silicobra,8
844,sandaconda,8
845,cramorant,8
846,arrokuda,8
847,barraskewda,8
848,toxel,8
849,toxtricity,8
850,sizzlipede,8
851,centiskorch,8
852,clobbopus,8
853,grapploct,8
854,sinistea,8
855,polteageist,8
856,hatenna,8
857,hattrem,8
858,hatterene,8
859,impidimp,8
860,morgrem,8
861,grimmsnarl,8
862,obstagoon,8
863,perrserker,8
864,cursola,8
865,sirfetchd,8
866,mr-rime,8
867,runerigus,8
868,milcery,8
869,alcremie,8
870,falinks,8
871,pincurchin,8
872,snom,8
873,frosmoth,8
874,stonjourner,8
875,eiscue,8
876,indeedee,8
877,morpeko,8
878,cufant,8
879,copperajah,8
880,dracozolt,8
881,arctozolt,8
882,dracovish,8
883,arctovish,8
884,duraludon,8
885,dreepy,8
886,drakloak,8
887,dragapult,8
888,zacian,8
889,zamazenta,8
890,eternatus,8
891,kubfu,8
892,urshifu,8
893,zarude,8
894,regieleki,8
895,regidrago,8
896,glastrier,8
897,spectrier,8
898,calyrex,8
899,wyrdeer,8
900,kleavor,8
901,ursaluna,8
902,basculegion,8
903,sneasler,8
904,overqwil,8
905,enamorus,8
