species_id,species_name,generation
252,treecko,3
253,grovyle,3
254,sceptile,3
255,torchic,3
256,combusken,3
257,blaziken,3
258,mudkip,3
259,marshtomp,3
260,swampert,3
261,poochyena,3
262,mightyena,3
263,zigzagoon,3
264,linoone,3
265,wurmple,3
266,silcoon,3
267,beautifly,3
268,cascoon,3
269,dustox,3
270,lotad,3
271,lombre,3
272,ludicolo,3
273,seedot,3
274,nuzleaf,3
275,shiftry,3
276,taillow,3
277,swellow,3
278,wingull,3
279,pelipper,3
280,ralts,3
281,kirlia,3
282,gardevoir,3
283,surskit,3
284,masquerain,3
285,shroomish,3
286,breloom,3
287,slakoth,3
288,vigoroth,3
289,slaking,3
290,nincada,3
291,ninjask,3
292,shedinja,3
293,whismur,3
294,loudred,3
295,exploud,3
296,makuhita,3
297,hariyama,3
298,azurill,3
299,nosepass,3
300,skitty,3
301,delcatty,3
302,sableye,3
303,mawile,3
304,aron,3
305,lairon,3
306,aggron,3
307,meditite,3
308,medicham,3
309,electrike,3
310,manectric,3
311,plusle,3
312,minun,3
313,volbeat,3
314,illumise,3
315,roselia,3
316,gulpin,3
317,swalot,3
318,carvanha,3
319,sharpedo,3
320,wailmer,3
321,wailord,3
322,numel,3
323,camerupt,3
324,torkoal,3
325,spoink,3
326,grumpig,3
327,spinda,3
328,trapinch,3
329,vibrava,3
330,flygon,3
331,cacnea,3
332,cacturne,3
333,swablu,3
334,altaria,3
335,zangoose,3
336,seviper,3
337,lunatone,3
338,solrock,3
339,barboach,3
340,whiscash,3
341,corphish,3
342,crawdaunt,3
343,baltoy,3
344,claydol,3
345,lileep,3
346,cradily,3
347,anorith,3
348,armaldo,3
349,feebas,3
350,milotic,3
351,castform,3
352,kecleon,3
353,shuppet,3
354,banette,3
355,duskull,3
356,dusclops,3
357,tropius,3
358,chimecho,3
359,absol,3
360,wynaut,3
361,snorunt,3
362,glalie,3
363,spheal,3
364,sealeo,3
365,walrein,3
366,clamperl,3
367,huntail,3
368,gorebyss,3
369,relicanth,3
370,luvdisc,3
371,bagon,3
372,shelgon,3
373,salamence,3
374,beldum,3
375,metang,3
376,metagross,3
377,regirock,3
378,regice,3
379,registeel,3
380,latias,3
381,latios,3
382,kyogre,3
383,groudon,3
384,rayquaza,3
385,jirachi,3
386,deoxys,3
